game,agent_a,agent_b,a_starts,winner,avg_time_p1,avg_time_p2,nodes_p1,nodes_p2
20,Expectimax,Stratagem,True,Stratagem,2.411854433361441,0.0,74166,0
21,Expectimax,Stratagem,False,Stratagem,0.0,1.7970552500337362,0,44309
22,Expectimax,Stratagem,True,Stratagem,4.228920949972235,0.0,74794,0
23,Expectimax,Stratagem,False,Stratagem,0.0,0.167083999956958,0,3884
24,Expectimax,Stratagem,True,Stratagem,9.112916700076312,0.0,88084,0
25,Expectimax,Stratagem,False,Stratagem,0.0,1.596581899910234,0,42870
26,Expectimax,Stratagem,True,Stratagem,6.272327799970905,0.0,198595,0
27,Expectimax,Stratagem,False,Stratagem,0.0,0.4607069000291328,0,14971
28,Expectimax,Stratagem,True,Stratagem,5.846663899952546,0.0,127145,0
29,Expectimax,Stratagem,False,Stratagem,0.0,1.4787802998907864,0,19114
30,Expectimax,Stratagem,True,Expectimax,2.8639689999399707,0.0,59367,0
31,Expectimax,Stratagem,False,Stratagem,0.0,1.836766849970445,0,45910
32,Expectimax,Stratagem,True,Stratagem,1.0298841334879398,0.0,30829,0
33,Expectimax,Stratagem,False,Stratagem,0.0,0.6367410499369726,0,17136
34,Expectimax,Stratagem,True,Stratagem,1.008670400052021,0.0,29126,0
35,Expectimax,Stratagem,False,Stratagem,0.0,1.9445929000309359,0,64041
36,Expectimax,Stratagem,True,Stratagem,6.5878886001883075,0.0,127733,0
37,Expectimax,Stratagem,False,Stratagem,0.0,1.0658401999777805,0,42878
38,Expectimax,Stratagem,True,Stratagem,2.694269066598887,0.0,74237,0
39,Expectimax,Stratagem,False,Stratagem,0.0,2.119999650050886,0,48370
40,Expectimax,Stratagem,True,Stratagem,5.454196333341922,0.0,168930,0
41,Expectimax,Stratagem,False,Stratagem,0.0,1.1919333999200414,0,44089
42,Expectimax,Stratagem,True,Stratagem,4.057289299904369,0.0,79468,0
43,Expectimax,Stratagem,False,Stratagem,0.0,0.10907796661679943,0,3892
44,Expectimax,Stratagem,True,Stratagem,4.494380300010865,0.0,129414,0
45,Expectimax,Stratagem,False,Stratagem,0.0,3.4258886000607163,0,46291
46,Expectimax,Stratagem,True,Stratagem,4.842650500009768,0.0,99550,0
47,Expectimax,Stratagem,False,Stratagem,0.0,1.1038058998528868,0,14207
48,Expectimax,Stratagem,True,Expectimax,1.9889820749522187,0.0,74097,0
49,Expectimax,Stratagem,False,Stratagem,0.0,0.5512547000544146,0,13460
0,Minimax_AB,Minimax_NoAB,True,Minimax_AB,0.7065285333277037,2.0298909000121057,19766,49909
1,Minimax_AB,Minimax_NoAB,False,Minimax_NoAB,4.319770333279545,0.18702499999199063,125752,4257
2,Minimax_AB,Minimax_NoAB,True,Minimax_AB,0.3297078999845932,0.35552340000867844,9557,9870
3,Minimax_AB,Minimax_NoAB,False,Minimax_NoAB,2.4443845500354655,0.014037633237118522,99610,573
4,Minimax_AB,Minimax_NoAB,True,Minimax_NoAB,0.2722211666405201,1.1615446333307773,7911,45548
5,Minimax_AB,Minimax_NoAB,False,Minimax_NoAB,1.9358482667400192,0.0414522000355646,62426,1002
6,Minimax_AB,Minimax_NoAB,True,Minimax_NoAB,0.7713148499606177,1.3889219999546185,15513,39382
7,Minimax_AB,Minimax_NoAB,False,Minimax_AB,8.030277449986897,0.06518805003724992,159510,1804
8,Minimax_AB,Minimax_NoAB,True,Minimax_AB,0.721912566650038,0.31415385007858276,23242,9750
9,Minimax_AB,Minimax_NoAB,False,Minimax_NoAB,1.5128215500735678,0.023616200002531212,64755,968
10,Minimax_AB,Minimax_NoAB,True,Minimax_NoAB,0.6986397667011867,1.138594033351789,20830,49237
11,Minimax_AB,Minimax_NoAB,False,Minimax_NoAB,1.1576735999745627,0.011567450012080371,34800,294
12,Minimax_AB,Minimax_NoAB,True,Minimax_AB,0.3651173667361339,0.5847557499073446,9799,14318
13,Minimax_AB,Minimax_NoAB,False,Minimax_NoAB,1.4661823000060394,0.07775180010745923,61020,2816
14,Minimax_AB,Minimax_NoAB,True,Minimax_AB,0.24193659991336366,0.18353324988856912,7094,5690
15,Minimax_AB,Minimax_NoAB,False,Minimax_AB,3.1049018333821246,0.1013146333085994,89014,3428
16,Minimax_AB,Minimax_NoAB,True,Minimax_AB,0.5026732666107515,0.16584924992639571,15437,3884
17,Minimax_AB,Minimax_NoAB,False,Minimax_NoAB,2.848563000016535,0.106346599990502,80353,2572
18,Minimax_AB,Minimax_NoAB,True,Minimax_NoAB,0.2822559999767691,1.1826462666504085,8190,45553
19,Minimax_AB,Minimax_NoAB,False,Minimax_AB,3.1361866334142783,0.26062289997935295,89038,8531
20,Minimax_AB,Minimax_NoAB,True,Minimax_NoAB,0.1891410999232903,0.9471427499083802,3560,24558
21,Minimax_AB,Minimax_NoAB,False,Minimax_NoAB,4.846288949949667,0.050170799950137734,98812,851
22,Minimax_AB,Minimax_NoAB,True,Minimax_AB,0.07545303328273197,0.22784985008183867,2373,5192
23,Minimax_AB,Minimax_NoAB,False,Minimax_NoAB,4.752572549972683,0.16483979998156428,108375,1856
24,Minimax_AB,Minimax_NoAB,True,Minimax_AB,0.8727754667246094,2.0110192500287667,24721,49542
25,Minimax_AB,Minimax_NoAB,False,Minimax_NoAB,3.3416107999316105,0.10280274995602667,101376,2664
26,Minimax_AB,Minimax_NoAB,True,Minimax_AB,0.13981353328563273,0.5276556499302387,3600,13724
27,Minimax_AB,Minimax_NoAB,False,Minimax_NoAB,3.2796466001309454,0.22520155005622655,101943,5761
28,Minimax_AB,Minimax_NoAB,True,Minimax_NoAB,0.2739044000239422,1.1704357333946973,7911,45548
29,Minimax_AB,Minimax_NoAB,False,Minimax_AB,2.9666308666734644,0.16484733329464993,87058,5750
30,Minimax_AB,Minimax_NoAB,True,Minimax_NoAB,0.3302594000706449,1.5886107499245554,6244,41835
31,Minimax_AB,Minimax_NoAB,False,Minimax_NoAB,2.6745962333710245,0.07723329996224493,77214,2081
32,Minimax_AB,Minimax_NoAB,True,Minimax_AB,0.3479319999460131,0.5429074000567198,6449,6791
33,Minimax_AB,Minimax_NoAB,False,Minimax_NoAB,5.075100499981393,0.0579691999591887,160525,1630
34,Minimax_AB,Minimax_NoAB,True,Minimax_NoAB,0.3929318667699893,0.8549975666683167,11825,38473
35,Minimax_AB,Minimax_NoAB,False,Minimax_AB,4.853900733326252,0.08808300007755558,147734,4002
36,Minimax_AB,Minimax_NoAB,True,Minimax_AB,0.24027936665030816,0.19160489994101226,7094,5690
37,Minimax_AB,Minimax_NoAB,False,Minimax_AB,5.586955050006509,0.12235249998047948,104167,3200
38,Minimax_AB,Minimax_NoAB,True,Minimax_NoAB,0.3027013500686735,1.538520250003785,5357,39502
39,Minimax_AB,Minimax_NoAB,False,Minimax_NoAB,2.7648123000593237,0.08892630005721003,77308,2063
40,Minimax_AB,Minimax_NoAB,True,Minimax_NoAB,0.34723569999914616,1.7875719498842955,6412,44752
41,Minimax_AB,Minimax_NoAB,False,Minimax_NoAB,0.937492600021263,0.02070519991684705,27534,500
42,Minimax_AB,Minimax_NoAB,True,Minimax_NoAB,0.2949131999630481,1.0823248500237241,5788,30091
43,Minimax_AB,Minimax_NoAB,False,Minimax_NoAB,5.420008866659676,0.07922795007470995,172077,2405
44,Minimax_AB,Minimax_NoAB,True,Minimax_NoAB,0.47202393342740834,1.2866578332614154,13293,44789
45,Minimax_AB,Minimax_NoAB,False,Minimax_NoAB,4.381402666680515,0.23509459989145398,125795,5579
46,Minimax_AB,Minimax_NoAB,True,Minimax_AB,0.004100000020116568,0.1522007999010384,113,1884
47,Minimax_AB,Minimax_NoAB,False,Minimax_NoAB,1.7044885666885723,0.07281924993731081,48717,1616
48,Minimax_AB,Minimax_NoAB,True,Minimax_AB,0.1385236334366103,2.1277587501099333,3916,57143
49,Minimax_AB,Minimax_NoAB,False,Minimax_AB,5.358370333289106,0.07447269993523757,174684,3149
